X.Intercept. IWB36652 IWB689 IWB12674
3.376983 9.549704 -13.98828 8.050693
0.7227075 16.31358 -13.32145 5.412711
1.392414 14.43762 -12.98584 3.53821
0.5371126 14.69326 -13.07255 5.416453
-0.1367068 17.08362 -8.076165 4.525918
2.443362 14.67814 -8.017165 6.315396
7.757872 12.6975 -10.42612 4.315715
6.668272 10.54445 -10.31907 6.062823
3.802916 15.17405 -11.60145 8.745499
2.268033 12.8867 -9.243304 8.414316
2.929878 4.808206 -10.73363 6.586988
1.799405 5.321177 -9.145135 7.138436
2.916919 7.45871 -6.912905 4.802516
4.324998 13.03735 -11.82506 7.33664
3.797934 15.57666 -12.22924 9.756847
3.347989 16.17333 -8.165979 8.761851
-1.988949 12.82872 -6.45747 7.167107
-4.125749 13.46657 -7.379755 6.113635
-2.463268 13.25596 -11.37765 8.662566
-4.021263 11.15435 -14.65361 6.230512
-7.256331 9.305093 -14.62201 6.107972
-6.865166 10.09372 -12.10235 3.220703
-2.673874 17.59806 -14.2418 6.471086
1.028687 9.984898 -9.66624 5.561803
0.967662 10.84576 -10.61689 9.064232
2.177515 10.7534 -11.76133 7.701188
5.524039 14.76869 -13.80452 8.547122
7.117426 15.76994 -9.552264 4.54014
10.5806 16.07499 -13.17671 3.270795
11.66476 16.09049 -13.08165 4.110547
10.82251 13.3513 -9.453934 4.644681
13.24082 15.81768 -10.78677 3.485468
15.71495 11.08768 -5.63603 7.093859
20.07044 9.956631 -9.126245 9.349773
19.03268 11.68027 -11.95186 7.57945
19.29854 10.68494 -8.83257 5.773364
25.53678 12.20982 -11.80328 5.065948
29.863 16.19913 -10.70068 3.35706
23.39986 16.66839 -11.80574 6.916769
23.44228 14.24713 -9.475724 3.497715
28.99054 10.13373 -14.47381 6.422314
26.89919 9.844335 -11.75277 10.08843
24.95201 11.63765 -9.569933 7.79069
22.4095 19.30028 -10.48237 5.943992
16.06858 14.38025 -7.548974 5.815878
19.03074 19.66294 -8.960745 8.635387
22.85653 16.25898 -9.510374 3.776443
22.61302 11.92541 -9.079489 5.181189
21.01734 13.28055 -11.03588 3.479827
17.85786 10.11069 -12.62244 7.989688
14.81001 10.27228 -10.88852 7.546562
16.29622 6.444208 -8.145619 7.855828
15.07266 20.09377 -6.632925 4.814388
15.43724 16.43149 -6.633457 9.82895
14.97535 12.80713 -9.162976 11.28304
20.35013 14.93447 -11.90715 6.472145
18.95358 9.954085 -12.86437 9.038069
16.62586 17.41316 -12.18223 8.183742
13.02329 10.13057 -8.942888 11.35565
13.66743 9.234897 -9.386964 9.991054
15.43398 17.66961 -9.715543 6.684614
17.08328 18.4225 -12.15722 7.748899
18.6556 19.2398 -15.49879 7.231984
19.86082 21.14165 -13.33256 3.160583
23.37737 17.17456 -12.67956 4.465318
21.23571 15.6078 -11.64759 9.810698
22.45668 16.30985 -12.57443 4.231613
23.83948 18.08006 -14.99916 7.726086
25.10879 19.65834 -13.55174 6.21395
24.39187 11.04385 -8.862488 7.408725
25.29356 13.54784 -10.90607 4.031546
