Set,Plant,Strain,Leaf,Rep,PLACL,pycnidiaPerCm2Leaf,pycnidiaPerCm2Lesion
set3,PyrSep_001,mix3,2,R1,95.53216499,78.82802542,82.51464355
set3,PyrSep_001,mix2,1,R2,25.159991955,11.794792204,46.879157293
set3,PyrSep_001,mix2,2,R2,43.032767621,26.970901789,62.675266499
set3,PyrSep_001,mix2,3,R2,29.230009264,13.205687842,45.178527734
set3,PyrSep_001,mix1,1,R3,5.787568474,4.4748215,77.31781525
set3,PyrSep_001,mix1,2,R3,5.936942154,0.969553556,16.33085737
set3,PyrSep_001,mix1,3,R3,6.072625034,5.318197079,87.57657602
set7,PyrSep_002,mix3,1,R1,23.50749683,13.86908305,58.99855332
set7,PyrSep_002,mix3,2,R1,31.97170934,42.74908087,133.7090877
set7,PyrSep_002,mix3,3,R1,20.85461373,9.532856792,45.71102068
set7,PyrSep_002,mix2,1,R2,92.74819524,65.564027175,70.690353602
set7,PyrSep_002,mix1,1,R3,0,0,0
set7,PyrSep_002,mix1,2,R3,21.69100724,23.99512224,110.6224436
set7,PyrSep_002,mix1,3,R3,41.56038701,49.94271594,120.1690348
set7,PyrSep_002,mix4,1,R4,26.11025597,30.2058405,115.6857311
set7,PyrSep_002,mix4,2,R4,9.048015543,16.28481947,179.9822225
set7,PyrSep_002,mix4,3,R4,44.06421928,36.49597008,82.82450178
set8,PyrSep_003,mix3,1,R2,21.369470703,38.517627425,180.246052701
set8,PyrSep_003,mix3,2,R2,9.5114832,17.844485128,187.609910601
set8,PyrSep_003,mix2,1,R3,2.503827965,4.890614955,195.3255185
set8,PyrSep_003,mix2,2,R3,0,0,0
set8,PyrSep_003,mix2,3,R3,7.584385747,10.73213787,141.5030594
set8,PyrSep_003,mix1,3,R4,24.27014379,29.65722194,122.1963174
set3,PyrSep_004,mix2,1,R2,25.785764251,12.937730013,50.173924988
set3,PyrSep_004,mix2,2,R2,52.862611625,44.296714403,83.795925025
set3,PyrSep_004,mix2,3,R2,44.160881217,67.683965329,153.266790573
set3,PyrSep_004,mix1,2,R3,29.25986923,27.98901315,95.65665836
set4,PyrSep_005,mix4,2,R1,24.60318946,37.42753788,152.1247396
set4,PyrSep_005,mix3,1,R2,30.332199304,24.410964466,80.478715774
set4,PyrSep_005,mix3,2,R2,27.119756804,35.597245836,131.259458162
set4,PyrSep_005,mix3,3,R2,3.969315851,1.029120912,25.926909086
set4,PyrSep_005,mix2,1,R3,0,0,0
set4,PyrSep_005,mix2,2,R3,0,0,0
set4,PyrSep_005,mix2,3,R3,0,0,0
set4,PyrSep_005,mix1,1,R4,95.72990909,55.43632334,57.90909431
set4,PyrSep_005,mix1,3,R4,90.24278687,80.34941295,89.03693662
set6,PyrSep_006,mix2,1,R1,95.81011909,74.91287299,78.18889456
set6,PyrSep_006,mix2,2,R1,96.77472494,73.60329929,76.05632497
set6,PyrSep_006,mix2,3,R1,94.56900189,62.7676355,66.37231465
set6,PyrSep_006,mix1,2,R2,25.56639613,15.721438384,61.492587003
set6,PyrSep_006,mix3,1,R4,15.30951204,16.1910782,105.7582904
set6,PyrSep_006,mix3,2,R4,34.28414556,24.01973114,70.06075474
set6,PyrSep_007,mix2,1,R1,51.50830033,35.60987145,69.13423898
set6,PyrSep_007,mix2,2,R1,15.70428162,5.990430088,38.1452029
set6,PyrSep_007,mix1,1,R2,7.249421673999999,1.438967645,19.849412959
set6,PyrSep_007,mix1,2,R2,97.224744398,22.644575533,23.290959182
set6,PyrSep_007,mix1,3,R2,28.130227707,12.469738405,44.328608128
set6,PyrSep_007,mix3,2,R4,29.89398977,17.39967193,58.20458248
set4,PyrSep_008,mix3,1,R2,44.568908733,15.877306901,35.624176927
set4,PyrSep_008,mix3,2,R2,38.26913444,6.270873609,16.386243643
set4,PyrSep_008,mix3,3,R2,36.770588503,13.22528279,35.967014204
set4,PyrSep_008,mix2,1,R3,15.17128009,14.95842406,98.59698042
set4,PyrSep_008,mix2,2,R3,28.21727242,17.40989153,61.69941328
set4,PyrSep_008,mix2,3,R3,8.121301655,7.50621989,92.4263155
set4,PyrSep_008,mix1,1,R4,28.69008931,18.36964519,64.02784248
set4,PyrSep_008,mix1,2,R4,40.16107374,34.30930877,85.42926167
set4,PyrSep_008,mix1,3,R4,41.86082659,17.23896579,41.18161822
set8,PyrSep_009,mix3,1,R2,47.8942244,48.019013694,100.26055186400001
set8,PyrSep_009,mix3,2,R2,45.955836186,34.013861224,74.014236377
set8,PyrSep_009,mix2,2,R3,91.22406719,36.34227033,39.83846747
set8,PyrSep_009,mix2,3,R3,93.89501718,32.47719092,34.58883325
set8,PyrSep_009,mix1,1,R4,87.22301433,66.69543879,76.46541375
set8,PyrSep_009,mix1,2,R4,75.94567035,51.21162046,67.43191577
set1,PyrSep_010,mix1,1,R1,34.44649212,48.99397907,142.2321289
set1,PyrSep_010,mix1,2,R1,52.21558221,65.1876168,124.843225
set1,PyrSep_010,mix3,1,R3,0,0,0
set1,PyrSep_010,mix3,2,R3,0,0,0
set1,PyrSep_010,mix3,3,R3,0,0,0
set1,PyrSep_010,mix2,2,R4,0,0,0
set7,PyrSep_011,mix3,1,R1,5.08502808,6.313098747,124.1507156
set7,PyrSep_011,mix3,2,R1,19.44610309,23.37371203,120.1974088
set7,PyrSep_011,mix3,3,R1,0,0,0
set7,PyrSep_011,mix2,1,R2,0,0,0
set7,PyrSep_011,mix2,2,R2,0,0,0
set7,PyrSep_011,mix2,3,R2,3.127557397,2.924153977,93.496412878
set7,PyrSep_011,mix1,1,R3,0,0,0
set7,PyrSep_011,mix1,2,R3,0,0,0
set7,PyrSep_011,mix1,3,R3,0,0,0
set7,PyrSep_011,mix4,1,R4,48.96161087,35.60888664,72.72817623
set7,PyrSep_011,mix4,2,R4,95.08737604,77.7416074,81.75807414
set7,PyrSep_011,mix4,3,R4,43.94108123,57.46370689,130.7744491
set6,PyrSep_012,mix2,2,R1,96.69045691,80.87196614,83.64007031
set6,PyrSep_012,mix2,3,R1,96.13905056,44.86863977,46.67056676
set6,PyrSep_012,mix1,1,R2,0,0,0
set6,PyrSep_012,mix1,2,R2,8.880852558,6.018745681,67.772160854
set6,PyrSep_012,mix1,3,R2,8.202157789999998,2.808092739,34.236024361
set6,PyrSep_012,mix4,1,R3,64.62288731,83.09580448,128.5857193
set6,PyrSep_012,mix4,2,R3,52.17801182,31.27130978,59.93196883
set6,PyrSep_012,mix3,1,R4,8.987716934,6.846691098,76.17831256
set6,PyrSep_012,mix3,2,R4,12.07405677,14.17338061,117.3870629
set6,PyrSep_012,mix3,3,R4,0,0,0
set1,PyrSep_013,mix1,1,R1,13.77383305,20.31761573,147.5087992
set1,PyrSep_013,mix1,2,R1,12.351418,13.559561,109.7814113
set1,PyrSep_013,mix1,3,R1,13.76329447,13.5417421,98.39026647
set1,PyrSep_013,mix4,1,R2,15.089955724,12.577685126,83.351371973
set1,PyrSep_013,mix4,3,R2,7.724819351,7.149770204,92.555824025
set1,PyrSep_013,mix3,1,R3,5.095373948,3.364709164,66.03458742
set1,PyrSep_013,mix3,2,R3,0,0,0
set1,PyrSep_013,mix3,3,R3,0,0,0
set1,PyrSep_013,mix2,1,R4,25.73398658,7.081216359,27.51698163
set1,PyrSep_013,mix2,2,R4,5.756884676,3.574519122,62.09120597
set1,PyrSep_013,mix2,3,R4,9.546146854,3.250698251,34.05246432
set4,PyrSep_014,mix3,1,R2,12.375628525,6.128970998,49.524523019
set4,PyrSep_014,mix3,2,R2,0,0,0
set4,PyrSep_014,mix3,3,R2,9.803550426,0.874970658,8.925038579
set4,PyrSep_014,mix2,2,R3,42.67448559,75.165542490000007,176.1369621
set4,PyrSep_014,mix1,1,R4,24.78807205,43.85032486,176.9009093
set4,PyrSep_014,mix1,2,R4,0,0,0
set4,PyrSep_014,mix1,3,R4,0,0,0
set5,PyrSep_015,mix1,1,R1,11.73767868,9.646091912,82.1805757
set5,PyrSep_015,mix1,2,R1,28.54991291,26.31796105,92.18228138
set5,PyrSep_015,mix1,3,R1,6.813336253,8.932659226,131.1055098
set5,PyrSep_015,mix4,1,R2,25.209462701,20.571267445,81.601372029
set5,PyrSep_015,mix4,2,R2,8.171097099,13.242800305,162.068815795
set5,PyrSep_015,mix4,3,R2,0,0,0
set5,PyrSep_015,mix3,1,R3,8.942904161999998,6.681811879,74.71635341
set5,PyrSep_015,mix3,2,R3,10.96172116,9.649285386,88.02710127
set5,PyrSep_015,mix3,3,R3,3.036498487,2.725808149,89.76813788
set5,PyrSep_015,mix2,1,R4,12.78315096,4.842352643,37.88074363
set5,PyrSep_015,mix2,2,R4,26.44843349,8.388448707,31.71624025
set5,PyrSep_015,mix2,3,R4,5.859274799,0.837309962,14.29033439
set6,PyrSep_016,mix2,1,R1,54.23909717,52.04581469,95.95627029
set6,PyrSep_016,mix2,2,R1,35.50910715,16.52378725,46.53394179
set6,PyrSep_016,mix2,3,R1,44.44215022,16.57907166,37.30483692
set6,PyrSep_016,mix1,1,R2,0,0,0
set6,PyrSep_016,mix1,2,R2,9.978060614,4.331633554,43.411577874
set6,PyrSep_016,mix1,3,R2,13.945855116,14.189490837,101.747011703
set6,PyrSep_016,mix4,1,R3,16.58758087,16.1691254,97.47729654
set6,PyrSep_016,mix4,2,R3,9.38250344,13.96772563,148.8699228
set6,PyrSep_016,mix3,1,R4,17.39670725,14.87701169,85.51625015
set6,PyrSep_016,mix3,2,R4,11.11645152,2.854581999,25.67889578
set6,PyrSep_016,mix3,3,R4,3.585062903,0.558191983,15.56993552
set1,PyrSep_017,mix1,1,R1,27.06309377,26.07680572,96.35559754
set1,PyrSep_017,mix1,2,R1,11.47548841,7.784281818,67.8339914
set1,PyrSep_017,mix1,3,R1,14.13039489,11.2238897,79.43082826
set1,PyrSep_017,mix4,1,R2,43.694155255,23.79835334,54.465759094
set1,PyrSep_017,mix4,2,R2,20.616737401,8.570305284,41.569648567
set1,PyrSep_017,mix4,3,R2,78.422684132,84.028959935,107.148793573
set1,PyrSep_017,mix3,1,R3,19.89647669,13.48705789,67.78616185
set1,PyrSep_017,mix3,2,R3,42.26840662,39.58937738,93.66186365
set1,PyrSep_017,mix3,3,R3,8.56136315,6.634090606,77.48871867
set1,PyrSep_017,mix2,1,R4,4.405551532,3.128919535,71.02219808
set1,PyrSep_017,mix2,2,R4,0,0,0
set1,PyrSep_017,mix2,3,R4,6.780963547,3.048951609,44.96339772
set3,PyrSep_018,mix3,1,R1,81.08417135,69.45863375,85.66238342
set3,PyrSep_018,mix3,2,R1,96.54633805,77.8964447,80.68296144
set3,PyrSep_018,mix2,1,R2,10.399139042,5.230869405,50.300985342
set3,PyrSep_018,mix2,2,R2,13.426885623,5.168883595,38.496519152
set3,PyrSep_018,mix2,3,R2,4.780471826,1.230880003,25.748086123
set3,PyrSep_018,mix1,1,R3,6.521645122,6.559523082,100.5808038
set3,PyrSep_018,mix1,2,R3,4.583925015,2.904952265,63.37259567
set3,PyrSep_018,mix1,3,R3,16.61748395,13.04925057,78.52723436
set3,PyrSep_018,mix4,1,R4,21.76454856,38.67829714,177.7123796
set3,PyrSep_018,mix4,2,R4,0,0,0
set3,PyrSep_018,mix4,3,R4,54.48947812,75.46823738,138.5005692
set2,PyrSep_019,mix2,1,R1,79.07823195,54.28580982,68.64823414
set2,PyrSep_019,mix1,1,R2,6.861556413,4.829519741,70.38519324
set2,PyrSep_019,mix1,2,R2,29.974038399,33.735631961,112.54950538
set2,PyrSep_019,mix1,3,R2,17.251332115,14.873696549,86.217669744
set2,PyrSep_019,mix4,1,R3,15.11419709,21.33650449,141.1686268
