Isolate,Line,Trial,Leaf,Year,BRep,PLACL,pycnidiaPerCm2Leaf,pycnidiaPerCm2Lesion
21_EscRic_L1_2,Sculptur,1,2,21,1,83.008787832,44.541887925,53.659243905
21_EscRic_L1_2,Sculptur,1,2,21,2,96.794473208,46.904190324,48.45750875
21_EscRic_L1_2,Sculptur,1,2,21,3,57.061506308,26.066945717,45.68218998
21_EscRic_L1_2,Sculptur,1,2,21,4,46.285057954,27.673086402,59.788380149
21_EscRic_L1_2,Sculptur,1,2,21,5,71.15365926,32.116919057,45.137410207
21_EscRic_L1_2,Sculptur,1,2,21,6,86.824703739,50.637551102,58.32159388
21_EciRic_L4_1,Sculptur,1,2,21,1,86.674729708,56.850361114,65.590468301
21_EciRic_L4_1,Sculptur,1,2,21,2,96.487066123,103.442448359,107.208616155
21_EciRic_L4_1,Sculptur,1,2,21,4,97.45511629,99.844748115,102.452033219
21_EciRic_L4_1,Sculptur,1,2,21,5,95.856418552,108.965733784,113.675991061
21_CasTuj_L4_3,Sculptur,1,2,21,1,52.807612983,29.847597972,56.52139206
21_CasTuj_L4_3,Sculptur,1,2,21,2,25.494788501,13.718146527,53.807649852
21_CasTuj_L4_3,Sculptur,1,2,21,3,60.85476793,22.565794479,37.081391068
21_CasTuj_L4_3,Sculptur,1,2,21,4,48.347177457,19.904924738,41.170810344
21_CasTuj_L4_3,Sculptur,1,2,21,5,45.98712905,31.346543285,68.16373175
21_CasTuj_L4_3,Sculptur,1,2,21,6,27.095327136,18.337207348,67.676641273
21_JerAmi_L1_3,Sculptur,1,2,21,1,44.870685544,27.350062645,60.953075072
21_JerAmi_L1_3,Sculptur,1,2,21,2,50.733755385,27.057941442,53.33321225
21_JerAmi_L1_3,Sculptur,1,2,21,3,15.296358542,7.3940354,48.338533511
21_JerAmi_L1_3,Sculptur,1,2,21,4,38.846374082,19.392872505,49.921963023000004
21_JerAmi_L1_3,Sculptur,1,2,21,5,41.73408307,19.589115948,46.937932995
21_JerAmi_L1_3,Sculptur,1,2,21,6,24.062720569,19.505615759,81.061556206
21_ConRic_L3_1,Sculptur,1,2,21,1,10.243155319,2.823294871,27.562745886
21_ConRic_L3_1,Sculptur,1,2,21,2,17.000074038,7.572269453,44.542567497
21_ConRic_L3_1,Sculptur,1,2,21,3,55.039049542,26.582785982,48.298046938
21_ConRic_L3_1,Sculptur,1,2,21,4,53.393055865,32.43785463,60.752946435
21_ConRic_L3_1,Sculptur,1,2,21,5,36.67846934,35.465629522,96.693319432
21_ConRic_L3_1,Sculptur,1,2,21,6,56.616069526,29.713164931,52.4818575
22_EcijaSecRic_L1,Sculptur,1,2,22,1,32.468255525,13.003713555,40.050545816
22_EcijaSecRic_L1,Sculptur,1,2,22,2,42.639110884,28.431932546,66.68040669
22_EcijaSecRic_L1,Sculptur,1,2,22,3,22.313731933,7.049155009,31.591107349
22_EcijaSecRic_L1,Sculptur,1,2,22,4,19.275196676,10.113239563,52.467633574
22_EcijaSecRic_L1,Sculptur,1,2,22,5,40.690934384,30.325817771,74.527209143
22_EcijaSecRic_L1,Sculptur,1,2,22,6,81.526379571,38.556885327,47.293753912
21_JerRic_L4_4,Sculptur,1,2,21,1,71.004087492,23.327070403,32.853137372
21_JerRic_L4_4,Sculptur,1,2,21,2,86.800491851,44.416635368,51.170948944
21_JerRic_L4_4,Sculptur,1,2,21,3,92.619539123,49.242915088,53.166875537
21_JerRic_L4_4,Sculptur,1,2,21,4,96.672927664,60.859025914,62.953535581
21_JerRic_L4_4,Sculptur,1,2,21,5,62.708426018,35.758930267,57.024123451
21_JerRic_L4_4,Sculptur,1,2,21,6,96.152144023,55.151462412,57.358536279
21_EciAmi_L1_3,Sculptur,1,2,21,1,19.353320358,15.723835109,81.246188341
21_EciAmi_L1_3,Sculptur,1,2,21,2,41.730392067,35.341258416,84.689495271
21_EciAmi_L1_3,Sculptur,1,2,21,4,35.837560293,32.379520929,90.350795825
21_EciAmi_L1_3,Sculptur,1,2,21,5,15.537081543,5.100529921,32.828108077
21_EciAmi_L1_3,Sculptur,1,2,21,6,43.524838721,29.965394322,68.84665217
22_EcijaSec3927_L1,Sculptur,1,2,22,1,51.998289103,12.690333349,24.40529019
22_EcijaSec3927_L1,Sculptur,1,2,22,2,55.754622214,28.487340007,51.094131528
22_EcijaSec3927_L1,Sculptur,1,2,22,3,94.035464899,43.339298796,46.088248558
22_EcijaSec3927_L1,Sculptur,1,2,22,4,82.424404769,39.741288524,48.215438904
22_EcijaSec3927_L1,Sculptur,1,2,22,5,72.423714785,23.588306635,32.569865692
22_EcijaSec3927_L1,Sculptur,1,2,22,6,97.222020852,42.843749824,44.067948237
21_EciTej_L1_1,Sculptur,1,2,21,1,16.288862443,3.463613285,21.263690436
21_EciTej_L1_1,Sculptur,1,2,21,2,35.964836538,13.639414579,37.924305772
21_EciTej_L1_1,Sculptur,1,2,21,3,21.571737436,5.91828009,27.43534269
