Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,99.77,1475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR43486.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""SMR43486.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,99.77,1509,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR41283.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMR41283.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,99.54,1507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY18631.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMY18631.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,99.31,1517,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ44927.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMQ44927.1"")"
uncharacterized protein MYCGRDRAFT_64915 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003857780.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""XP_003857780.1"")"
hypothetical protein TI39_contig4219g00015 [Zymoseptoria brevis],Zymoseptoria brevis,0.0,98.39,1501,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX94094.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""KJX94094.1"")"
"putative GroES-like superfamily, Luciferase-like domain, alcohol dehydrogenase-like protein [Septoria linicola]",Septoria linicola,0.0,86.67,1149,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI5367091.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""KAI5367091.1"")"
bacterial luciferase-like protein [Sphaerulina musiva SO2202],Sphaerulina musiva SO2202,0.0,85.84,437,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016762340.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""XP_016762340.1"")"
hypothetical protein AC579_5254 [Pseudocercospora musae],Pseudocercospora musae,0.0,85.29,1230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KXT16691.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""KXT16691.1"")"
hypothetical protein AC578_1178 [Pseudocercospora eumusae],Pseudocercospora eumusae,0.0,85.52,873,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KXS95848.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""KXS95848.1"")"



		


