Cultivar,Traits,SNP,P.value,Effect,MAF,Distance,gene
Athoris,PCm2Leaf,X11_849459,2.798187e-10,11.6999346067633,0.1752577,110,ZtIPO323_113470
Athoris,PCm2Lesion,X11_849459,4.558347e-13,13.4719163072622,0.1752577,110,ZtIPO323_113470
Don Ricardo,PCm2Leaf,X1_1144460,1.177673e-9,15.3898014830792,0.06185567,0,ZtIPO323_003820
Don Ricardo,PCm2Leaf,X1_1144460,1.177673e-9,15.3898014830792,0.06185567,913,ZtIPO323_003810
Don Ricardo,PCm2Lesion,X1_326779,1.488237e-7,-15.7631540787977,0.07216495,816,ZtIPO323_000840
Don Ricardo,PCm2Lesion,X1_1146578,5.186265e-8,11.7470026546042,0.10382916,0,ZtIPO323_003820
Don Ricardo,PCm2Lesion,X1_1146578,5.186265e-8,11.7470026546042,0.10382916,16,ZtIPO323_003830
Don Ricardo,PCm2Lesion,X1_1810643,3.12702e-10,9.59758934317603,0.1443299,0,ZtIPO323_006440
Don Ricardo,PCm2Lesion,X1_1810643,3.12702e-10,9.59758934317603,0.1443299,1750,ZtIPO323_006450
Don Ricardo,PCm2Lesion,X1_1810643,3.12702e-10,9.59758934317603,0.1443299,1536,ZtIPO323_006430
Don Ricardo,PCm2Lesion,X8_190257,4.59305e-11,21.4282405370078,0.07216495,0,ZtIPO323_088990
Don Ricardo,PCm2Lesion,X8_190257,4.59305e-11,21.4282405370078,0.07216495,0,ZtIPO323_089000
Don Ricardo,PCm2Lesion,X8_190257,4.59305e-11,21.4282405370078,0.07216495,472,ZtIPO323_088980
Don Ricardo,PCm2Lesion,X8_707320,3.906175e-11,27.645930473616,0.06185567,1655,ZtIPO323_090540
Don Ricardo,PCm2Lesion,X9_1649963,1.893691e-11,21.3511653389316,0.07216495,1564,ZtIPO323_102580
Don Ricardo,PCm2Lesion,X9_1649963,1.893691e-11,21.3511653389316,0.07216495,0,ZtIPO323_102590
Don Ricardo,PCm2Lesion,X9_1649963,1.893691e-11,21.3511653389316,0.07216495,647,ZtIPO323_102600
Don Ricardo,PCm2Lesion,X13_1047926,2.251093e-12,11.76603035668,0.1443299,5100,ZtIPO323_125710
Don Ricardo,PLACL,X1_238483,3.699475e-11,13.8150755278136,0.09278351,0,ZtIPO323_000490
Don Ricardo,PLACL,X1_238483,3.699475e-11,13.8150755278136,0.09278351,712,ZtIPO323_000500
Don Ricardo,PLACL,X1_238483,3.699475e-11,13.8150755278136,0.09278351,1695,ZtIPO323_000480
Sculptur,PCm2Lesion,X4_2430124,5.846945e-10,4.46468117653365,0.2680412,0,ZtIPO323_059020
Sculptur,PCm2Lesion,X4_2430124,5.846945e-10,4.46468117653365,0.2680412,1615,ZtIPO323_059010
Sculptur,PCm2Lesion,X4_2430124,5.846945e-10,4.46468117653365,0.2680412,1771,ZtIPO323_059030
Sculptur,PCm2Lesion,X8_462144,1.441852e-8,7.51380219878884,0.0682376,0,ZtIPO323_089890
Sculptur,PCm2Lesion,X8_462144,1.441852e-8,7.51380219878884,0.0682376,0,ZtIPO323_089900
Sculptur,PCm2Lesion,X8_462144,1.441852e-8,7.51380219878884,0.0682376,1816,ZtIPO323_089910
Svevo,PCm2Lesion,X3_531163,5.787659e-8,7.78366202340088,0.16494845,0,ZtIPO323_039410
Svevo,PCm2Lesion,X3_531163,5.787659e-8,7.78366202340088,0.16494845,1339,ZtIPO323_039400
Svevo,PCm2Lesion,X13_684814,7.286722e-11,16.4958196086181,0.06185567,0,ZtIPO323_124400
