ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position
ZtIPO323_000480	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_000490	SP	0.000283	0.998999	0.000186	0.000170	0.000160	0.000147	CS pos: 21-22. Pr: 0.9735
ZtIPO323_000500	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_000800	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_000810	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_000820	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_000830	OTHER	0.959519	0.040023	0.000181	0.000129	0.000055	0.000112	
ZtIPO323_000840	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_003810	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_003820	OTHER	0.999818	0.000171	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_003830	OTHER	0.999974	0.000050	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_006430	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_006440	OTHER	0.999910	0.000121	0.000001	0.000000	0.000000	0.000000	
ZtIPO323_006450	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_039400	OTHER	1.000000	0.000006	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_039410	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_059010	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_059020	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_059030	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_088980	OTHER	0.777264	0.216958	0.003323	0.000562	0.000354	0.001552	
ZtIPO323_089000	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_088990	SP	0.000272	0.999106	0.000152	0.000165	0.000147	0.000134	CS pos: 18-19. Pr: 0.9782
ZtIPO323_089890	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_089900	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_089910	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_090540	OTHER	1.000000	0.000003	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_102580	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_102590	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_102600	OTHER	0.999649	0.000210	0.000052	0.000002	0.000001	0.000082	
ZtIPO323_113470	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ZtIPO323_124400	OTHER	1.000000	0.000014	0.000001	0.000000	0.000000	0.000000	
ZtIPO323_125710	OTHER	0.999581	0.000427	0.000004	0.000001	0.000000	0.000002	
